#差分画像定義機構。差分状態を持つ画像形式の名前を一括指定する
#指定名,本画像名,以下コマンド
#例:
#ev101aa,ev101a,diff,aa
EV101AA,EV101A,diff,AA
EV101AB,EV101A,diff,AB
EV101AC,EV101A,diff,AC
EV101AD,EV101A,diff,AD
EV101AE,EV101A,diff,AE
EV101AF,EV101A,diff,AF
EV101BA,EV101A,diff,BA
EV101BB,EV101A,diff,BB
EV101BC,EV101A,diff,BC
EV101BD,EV101A,diff,BD
EV101BE,EV101A,diff,BE
EV101BF,EV101A,diff,BF
EV101BG,EV101A,diff,BG
EV101AG,EV101A,diff,AG
EV101CA,EV101A,diff,CA
EV101CB,EV101A,diff,CB
EV101CC,EV101A,diff,CC
EV101CD,EV101A,diff,CD
EV101CE,EV101A,diff,CE
EV101CF,EV101A,diff,CF
EV101CG,EV101A,diff,CG

EV102AA,EV102A,diff,AA
EV102AB,EV102A,diff,AB
EV102AC,EV102A,diff,AC
EV102AD,EV102A,diff,AD
EV102AE,EV102A,diff,AE
EV102AF,EV102A,diff,AF
EV102BA,EV102A,diff,BA
EV102BB,EV102A,diff,BB
EV102BC,EV102A,diff,BC
EV102BD,EV102A,diff,BD
EV102BE,EV102A,diff,BE
EV102BF,EV102A,diff,BF

EV103AA,EV103A,diff,AA
EV103AB,EV103A,diff,AB
EV103AC,EV103A,diff,AC
EV103AD,EV103A,diff,AD

EV104AA,EV104A,diff,AA
EV104AB,EV104A,diff,AB
EV104AC,EV104A,diff,AC
EV104AD,EV104A,diff,AD
EV104AE,EV104A,diff,AE
EV104AF,EV104A,diff,AF
EV104AG,EV104A,diff,AG
EV104BA,EV104A,diff,BA
EV104BB,EV104A,diff,BB
EV104BC,EV104A,diff,BC
EV104BD,EV104A,diff,BD
EV104BE,EV104A,diff,BE
EV104BF,EV104A,diff,BF
EV104BG,EV104A,diff,BG
EV104CA,EV104A,diff,CA
EV104CB,EV104A,diff,CB
EV104CC,EV104A,diff,CC
EV104CD,EV104A,diff,CD
EV104CE,EV104A,diff,CE
EV104CF,EV104A,diff,CF
EV104CG,EV104A,diff,CG
EV104DA,EV104A,diff,DA
EV104DB,EV104A,diff,DB
EV104DC,EV104A,diff,DC
EV104DD,EV104A,diff,DD
EV104DE,EV104A,diff,DE
EV104DF,EV104A,diff,DF
EV104DG,EV104A,diff,DG
EV104EA,EV104A,diff,EA

EV105AA,EV105A,diff,AA
EV105AB,EV105A,diff,AB
EV105BA,EV105A,diff,BA
EV105BB,EV105A,diff,BB
EV105BC,EV105A,diff,BC

EV106AA,EV106A,diff,AA
EV106AB,EV106A,diff,AB
EV106AC,EV106A,diff,AC
EV106AD,EV106A,diff,AD
EV106AE,EV106A,diff,AE
EV106AF,EV106A,diff,AF
EV106BA,EV106A,diff,BA
EV106BB,EV106A,diff,BB
EV106BC,EV106A,diff,BC
EV106BD,EV106A,diff,BD
EV106BE,EV106A,diff,BE
EV106BF,EV106A,diff,BF
EV106CA,EV106A,diff,CA
EV106CB,EV106A,diff,CB
EV106CC,EV106A,diff,CC
EV106CD,EV106A,diff,CD
EV106CE,EV106A,diff,CE
EV106CF,EV106A,diff,CF
EV106DA,EV106A,diff,DA
EV106DB,EV106A,diff,DB
EV106DC,EV106A,diff,DC
EV106DD,EV106A,diff,DD
EV106DE,EV106A,diff,DE
EV106DF,EV106A,diff,DF
EV106EA,EV106A,diff,EA
EV106EB,EV106A,diff,EB
EV106EC,EV106A,diff,EC
EV106ED,EV106A,diff,ED
EV106EE,EV106A,diff,EE
EV106EF,EV106A,diff,EF
EV106FA,EV106A,diff,FA
EV106FB,EV106A,diff,FB
EV106FC,EV106A,diff,FC
EV106FD,EV106A,diff,FD
EV106FE,EV106A,diff,FE
EV106FF,EV106A,diff,FF
EV106GA,EV106A,diff,GA
EV106GB,EV106A,diff,GB
EV106GC,EV106A,diff,GC
EV106GD,EV106A,diff,GD
EV106GE,EV106A,diff,GE
EV106GF,EV106A,diff,GF
EV106HA,EV106A,diff,HA
EV106HB,EV106A,diff,HB
EV106HC,EV106A,diff,HC
EV106HD,EV106A,diff,HD
EV106HE,EV106A,diff,HE
